id,area,type,totalcar,totalmotor,totalbike,Pregnancy_First,Handicap_First,type2,serviceTime,totallargemotor,ChargingStation,farecar_weekday,farecar_night,farecar_haliday,farecar_month,faremotor_day/hour,faremotor_month,largemotor_month,parking_fare_classification
TPE0167,南港區,1,7,0,0,0,1,1.0,0,0.0,0.0,20.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0168,中山區,2,104,0,0,0,3,2.0,1,0.0,0.0,120.0,-1.0,-1.0,12000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0169,北投區,1,234,0,0,6,5,1.0,1,0.0,6.0,40.0,10.0,-1.0,4000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0170,士林區,1,31,0,0,1,2,1.0,1,0.0,0.0,30.0,-1.0,-1.0,7200.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0171,士林區,1,15,0,0,0,1,1.0,0,0.0,0.0,40.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0172,中山區,2,10,0,0,0,1,2.0,1,0.0,0.0,100.0,-1.0,-1.0,5000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0173,信義區,2,10,0,0,0,1,1.0,0,0.0,0.0,30.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0174,中山區,1,18,0,0,0,2,1.0,0,0.0,0.0,30.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0175,大安區,2,11,0,0,0,1,2.0,0,0.0,0.0,80.0,-1.0,-1.0,12000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0176,中山區,1,63,58,0,1,2,1.0,0,0.0,1.0,80.0,-1.0,-1.0,2000.0,-1.0,200.0,2000.0,mixed_parking_lot
TPE0177,松山區,1,193,0,0,4,5,1.0,1,1.0,4.0,30.0,-1.0,-1.0,5250.0,-1.0,-1.0,2625.0,car_and_largemotor
TPE0178,萬華區,1,153,0,0,3,4,1.0,1,0.0,5.0,20.0,-1.0,-1.0,4800.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0179,大安區,1,15,0,0,0,1,2.0,0,0.0,0.0,120.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
