,小型車日間(元/時或次）,小型車夜間(元/時),小型車假日與特殊日(元/時）,小型車月租(元/月),機車單次(元/時或次),機車月租(元/月),大型重型機車月租(元/月)
568,50.00 ,,,8000.00 ,,,
569,120.00 ,,,,,,
570,30.00 ,,40.00 ,4800.00 ,,,
571,100.00 ,,,5000.00 ,,,
572,40.00 ,,,5000.00 ,,,
573,30.00 ,,,4000.00 ,,,
574,100.00 ,,,,,,
575,100.00 ,,,10000.00 ,,,
576,50.00 ,,,5000.00 ,,,
577,,,,2000.00 ,,,
578,70.00 ,,,5500.00 ,,,
579,,,,2400.00 ,,,
580,,,,5500.00 ,,500.00 ,
581,50.00 ,,,6000.00 ,,,
582,60.00 ,,,4200.00 ,10.00 ,,
583,30.00 ,,,,,,
584,20.00 ,,,4800.00 ,,,
585,200.00 ,,,,,,
586,,,,2000.00 ,,,
587,,,,3000.00 ,,,
588,100.00 ,,,6000.00 ,,,
589,,,,1000.00 ,,,
590,30.00 ,,,1500.00 ,,,
591,60.00 ,,30.00 ,5000.00 ,30.00 ,1000.00 ,
592,,,,1500.00 ,,,
593,80.00 ,,,8000.00 ,,,
594,140.00 ,,,,,,
595,100.00 ,,,12000.00 ,,,
596,,,,5500.00 ,,,
597,30.00 ,10.00 ,,3600.00 ,,,
598,80.00 ,,,9000.00 ,,,
599,40.00 ,30.00 ,,4800.00 ,10.00 ,300.00 ,
600,,,,1200.00 ,,,
601,50.00 ,,,,,,
602,80.00 ,,,8000.00 ,,,
603,20.00 ,,,4800.00 ,,,
604,,,,1500.00 ,,,
605,,,,900.00 ,,,
606,20.00 ,,,4800.00 ,,,
607,150.00 ,,,15000.00 ,,,
608,40.00 ,,,5400.00 ,10.00 ,300.00 ,
609,50.00 ,,,,30.00 ,,
610,,,,1500.00 ,,,
611,100.00 ,,,8000.00 ,,,
612,200.00 ,,,10000.00 ,,,
613,100.00 ,,,10000.00 ,,,
614,50.00 ,,,,,,
615,60.00 ,,,5000.00 ,20.00 ,,
616,40.00 ,10.00 ,,4000.00 ,20.00 ,300.00 ,
617,40.00 ,10.00 ,,4000.00 ,,,
618,80.00 ,,,10000.00 ,,,
