type,totalcar,totalmotor,totalbike,Pregnancy_First,Handicap_First,totallargemotor,ChargingStation,serviceTime,farecar_weekday,farecar_night,farecar_haliday,farecar_month,faremotor_day_hour,faremotor_month,largemotor_month,parking_fare_classification,中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區
1.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,10.0,30.0,3000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,64.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,30.0,10.0,40.0,3500.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,37.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,30.0,10.0,-1.0,3500.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,115.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,50.0,10.0,-1.0,5760.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,12000.0,-1.0,-1.0,2000.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,447.0,0.0,0.0,8.0,9.0,2.0,11.0,1.0,30.0,-1.0,-1.0,4800.0,-1.0,-1.0,2400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,178.0,0.0,0.0,5.0,4.0,0.0,4.0,1.0,30.0,-1.0,-1.0,4800.0,-1.0,-1.0,2400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,973.0,0.0,0.0,19.0,20.0,2.0,19.0,1.0,30.0,20.0,20.0,3600.0,-1.0,-1.0,1800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,-1.0,-1.0,10000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,124.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,50.0,30.0,-1.0,12000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
