antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'farecar_weekday=1.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.570168404170008,0.5,0.3692862870890136,0.6476793248945147,1.2953586497890295,1.0,0.08420208500400961,1.4191616766467066,0.530470611113812,0.526887871853547,0.2953586497890295,0.6931259495362709
frozenset({'Pregnancy_First=0.0'}),"frozenset({'type2=2.0', 'farecar_weekday=1.0'})",0.6631916599839615,0.44025661587810744,0.3692862870890136,0.5568319226118501,1.2647894489926723,1.0,0.07731177118589028,1.2630498735847346,0.6215836823328682,0.503003823047515,0.20826562678650012,0.6978148684097503
"frozenset({'faremotor_day/hour=0.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.5809943865276664,0.5,0.40136327185244586,0.6908212560386473,1.3816425120772946,1.0,0.11086607858861264,1.6171874999999998,0.6592364573225816,0.5905604719764012,0.3816425120772946,0.7467738998717695
frozenset({'faremotor_day/hour=0.0'}),"frozenset({'type2=2.0', 'Pregnancy_First=0.0'})",0.7582197273456295,0.42742582197273454,0.40136327185244586,0.5293495505023798,1.2384594549277066,1.0,0.07728058165579749,1.2165592928646733,0.796364497857035,0.5117586912065439,0.17800964912670525,0.7341869703731412
frozenset({'Pregnancy_First=0.0'}),"frozenset({'faremotor_day/hour=0.0', 'type2=2.0'})",0.6631916599839615,0.44266238973536487,0.40136327185244586,0.6051995163240629,1.36718079140599,1.0,0.1077932667913819,1.4116943451419701,0.7973907045335614,0.5697211155378485,0.29163136238288695,0.7559512074373937
"frozenset({'faremotor_month=0.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.632317562149158,0.5,0.4065757818765036,0.6429930247305009,1.2859860494610018,1.0,0.09041700080192461,1.400532859680284,0.6048333150505787,0.5602209944751383,0.2859860494610018,0.7280722942417541
frozenset({'faremotor_month=0.0'}),"frozenset({'type2=2.0', 'Pregnancy_First=0.0'})",0.8572574178027266,0.42742582197273454,0.4065757818765036,0.47427502338634236,1.1096077939263957,1.0,0.04016182542994928,1.089113516567877,0.6920195908959955,0.463013698630137,0.08182206465373802,0.7127472677907322
frozenset({'Pregnancy_First=0.0'}),"frozenset({'faremotor_month=0.0', 'type2=2.0'})",0.6631916599839615,0.4631114675220529,0.4065757818765036,0.6130592503022975,1.3237833508692034,1.0,0.09944411897294492,1.3875213011226946,0.72619752042829,0.5649025069637885,0.27929034372959666,0.7454906641121877
"frozenset({'largemotor_month=1.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.6419406575781876,0.5,0.4198075380914194,0.6539662710805747,1.3079325421611494,1.0,0.09883720930232559,1.4449458483754516,0.6575294848717232,0.5813436979455858,0.3079325421611494,0.7467906736317067
frozenset({'Pregnancy_First=0.0'}),"frozenset({'largemotor_month=1.0', 'type2=2.0'})",0.6631916599839615,0.49238171611868486,0.4198075380914194,0.6330108827085853,1.2856100500612473,1.0,0.09326409043291711,1.3831971030307997,0.6596011279392368,0.5705722070844688,0.2770372365522999,0.7428083729503838
"frozenset({'totalbike=0.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.6631916599839615,0.5,0.42742582197273454,0.6444981862152358,1.2889963724304716,1.0,0.09582999198075381,1.4064625850340136,0.6656682748146162,0.5809264305177111,0.2889963724304716,0.7496749150803524
frozenset({'Pregnancy_First=0.0'}),"frozenset({'totalbike=0.0', 'type2=2.0'})",0.6631916599839615,0.5,0.42742582197273454,0.6444981862152358,1.2889963724304716,1.0,0.09582999198075381,1.4064625850340136,0.6656682748146162,0.5809264305177111,0.2889963724304716,0.7496749150803524
"frozenset({'totalcar=1.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.6327185244587009,0.5,0.41499599037690454,0.6558935361216729,1.3117870722433458,1.0,0.09863672814755409,1.4530386740331487,0.6471362571989113,0.5782122905027931,0.3117870722433458,0.742942758437741
frozenset({'Pregnancy_First=0.0'}),"frozenset({'totalcar=1.0', 'type2=2.0'})",0.6631916599839615,0.48757016840417,0.41499599037690454,0.6257557436517533,1.2834167966015402,1.0,0.09164352103428342,1.369239000742331,0.6556544743501266,0.5640326975476838,0.2696673119463794,0.7384535297206135
"frozenset({'totallargemotor=0.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.6591820368885325,0.5,0.42742582197273454,0.6484184914841848,1.2968369829683697,1.0,0.0978348035284683,1.422145328719723,0.6715991612404811,0.5841095890410957,0.2968369829683697,0.7516350677148269
frozenset({'Pregnancy_First=0.0'}),"frozenset({'totallargemotor=0.0', 'type2=2.0'})",0.6631916599839615,0.5,0.42742582197273454,0.6444981862152358,1.2889963724304716,1.0,0.09582999198075381,1.4064625850340136,0.6656682748146162,0.5809264305177111,0.2889963724304716,0.7496749150803524
"frozenset({'totalmotor=0.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.5521251002405774,0.5,0.38933440256615875,0.7051561365286855,1.410312273057371,1.0,0.11327185244587007,1.695812807881773,0.6495947380018753,0.587416817906836,0.41031227305737095,0.7419124708305015
